first_name,last_name,birth_date,discharge_date,org_id,org_name
VINCENT,HUGHES,1979-12-22,2009-02-15,4071,Navy
RALPH,PRICE,1986-05-28,2016-08-22,4072,Air Force
EUGENE,ALVAREZ,1973-08-08,2003-12-18,4073,Marines
RUSSELL,CASTILLO,1980-11-15,2010-06-30,4070,Army
BOBBY,SANDERS,1977-02-02,2007-03-25,4071,Navy
MASON,PATEL,1984-05-20,2014-09-08,4072,Air Force
PHILIP,MYERS,1968-10-12,1998-08-20,4073,Marines
LOUIS,LONG,1993-01-28,2023-02-12,4070,Army
HARRY,FOSTER,1974-04-05,2004-11-05,4071,Navy
LIAM,JIMENEZ,1981-07-18,2011-01-18,4072,Air Force
